year,county_name,urbanicity,region,division,pop_category,population,prison_population
2005,Inyo County,rural,West,Pacific,Black,65,NA
2006,Inyo County,rural,West,Pacific,Black,75,NA
2007,Inyo County,rural,West,Pacific,Black,77,NA
2008,Inyo County,rural,West,Pacific,Black,89,NA
2009,Inyo County,rural,West,Pacific,Black,93,NA
2010,Inyo County,rural,West,Pacific,Black,96,NA
2011,Inyo County,rural,West,Pacific,Black,136,NA
2012,Inyo County,rural,West,Pacific,Black,143,NA
2013,Inyo County,rural,West,Pacific,Black,144,0
2014,Inyo County,rural,West,Pacific,Black,151,NA
2015,Inyo County,rural,West,Pacific,Black,162,NA
2016,Inyo County,rural,West,Pacific,Black,176,NA
1970,Kern County,small/mid,West,Pacific,Black,10501,NA
1971,Kern County,small/mid,West,Pacific,Black,10669,NA
1972,Kern County,small/mid,West,Pacific,Black,10731,NA
1973,Kern County,small/mid,West,Pacific,Black,10996,NA
1974,Kern County,small/mid,West,Pacific,Black,11073,NA
1975,Kern County,small/mid,West,Pacific,Black,11516,NA
1976,Kern County,small/mid,West,Pacific,Black,11876,NA
1977,Kern County,small/mid,West,Pacific,Black,12061,NA
1978,Kern County,small/mid,West,Pacific,Black,12239,NA
1979,Kern County,small/mid,West,Pacific,Black,12756,NA
1980,Kern County,small/mid,West,Pacific,Black,13653,NA
1981,Kern County,small/mid,West,Pacific,Black,14241,NA
1982,Kern County,small/mid,West,Pacific,Black,14884,NA
1983,Kern County,small/mid,West,Pacific,Black,15450,347
1984,Kern County,small/mid,West,Pacific,Black,16007,343
1985,Kern County,small/mid,West,Pacific,Black,16644,372
1986,Kern County,small/mid,West,Pacific,Black,17177,441
1987,Kern County,small/mid,West,Pacific,Black,17687,529
1988,Kern County,small/mid,West,Pacific,Black,18271,596
1989,Kern County,small/mid,West,Pacific,Black,18958,650
1990,Kern County,small/mid,West,Pacific,Black,17953,704
1991,Kern County,small/mid,West,Pacific,Black,18565,758
1992,Kern County,small/mid,West,Pacific,Black,20483,739
1993,Kern County,small/mid,West,Pacific,Black,20908,758
1994,Kern County,small/mid,West,Pacific,Black,22245,808
1995,Kern County,small/mid,West,Pacific,Black,22637,824
1996,Kern County,small/mid,West,Pacific,Black,23001,958
1997,Kern County,small/mid,West,Pacific,Black,23653,1054
1998,Kern County,small/mid,West,Pacific,Black,24472,1052
1999,Kern County,small/mid,West,Pacific,Black,25574,1160
2000,Kern County,small/mid,West,Pacific,Black,25914,1158
2001,Kern County,small/mid,West,Pacific,Black,26530,1175
2002,Kern County,small/mid,West,Pacific,Black,27440,1239
2003,Kern County,small/mid,West,Pacific,Black,28214,1182
2004,Kern County,small/mid,West,Pacific,Black,28948,1149
2005,Kern County,small/mid,West,Pacific,Black,29926,1109
2006,Kern County,small/mid,West,Pacific,Black,31437,1108
2007,Kern County,small/mid,West,Pacific,Black,32317,1058
2008,Kern County,small/mid,West,Pacific,Black,33171,1068
2009,Kern County,small/mid,West,Pacific,Black,33626,1056
2010,Kern County,small/mid,West,Pacific,Black,33925,1028
2011,Kern County,small/mid,West,Pacific,Black,33933,933
2012,Kern County,small/mid,West,Pacific,Black,33971,834
2013,Kern County,small/mid,West,Pacific,Black,33461,880
2014,Kern County,small/mid,West,Pacific,Black,33313,828
2015,Kern County,small/mid,West,Pacific,Black,33629,774
2016,Kern County,small/mid,West,Pacific,Black,33789,NA
1970,Kings County,small/mid,West,Pacific,Black,1878,NA
1971,Kings County,small/mid,West,Pacific,Black,1892,NA
1972,Kings County,small/mid,West,Pacific,Black,1971,NA
1973,Kings County,small/mid,West,Pacific,Black,1997,NA
1974,Kings County,small/mid,West,Pacific,Black,2036,NA
1975,Kings County,small/mid,West,Pacific,Black,2105,NA
1976,Kings County,small/mid,West,Pacific,Black,2136,NA
1977,Kings County,small/mid,West,Pacific,Black,2169,NA
1978,Kings County,small/mid,West,Pacific,Black,2190,NA
1979,Kings County,small/mid,West,Pacific,Black,2189,NA
1980,Kings County,small/mid,West,Pacific,Black,2377,NA
1981,Kings County,small/mid,West,Pacific,Black,2812,NA
1982,Kings County,small/mid,West,Pacific,Black,3247,NA
1983,Kings County,small/mid,West,Pacific,Black,3704,32
1984,Kings County,small/mid,West,Pacific,Black,4125,39
1985,Kings County,small/mid,West,Pacific,Black,4552,42
1986,Kings County,small/mid,West,Pacific,Black,4909,55
1987,Kings County,small/mid,West,Pacific,Black,5278,71
1988,Kings County,small/mid,West,Pacific,Black,5948,76
1989,Kings County,small/mid,West,Pacific,Black,6547,78
1990,Kings County,small/mid,West,Pacific,Black,5980,80
1991,Kings County,small/mid,West,Pacific,Black,6018,82
1992,Kings County,small/mid,West,Pacific,Black,6224,75
1993,Kings County,small/mid,West,Pacific,Black,6390,105
1994,Kings County,small/mid,West,Pacific,Black,6373,114
1995,Kings County,small/mid,West,Pacific,Black,6342,120
1996,Kings County,small/mid,West,Pacific,Black,6225,130
1997,Kings County,small/mid,West,Pacific,Black,6109,149
1998,Kings County,small/mid,West,Pacific,Black,7090,165
1999,Kings County,small/mid,West,Pacific,Black,8166,153
2000,Kings County,small/mid,West,Pacific,Black,8600,166
2001,Kings County,small/mid,West,Pacific,Black,8864,162
2002,Kings County,small/mid,West,Pacific,Black,8927,168
2003,Kings County,small/mid,West,Pacific,Black,9176,169
2004,Kings County,small/mid,West,Pacific,Black,9439,177
2005,Kings County,small/mid,West,Pacific,Black,9361,197
2006,Kings County,small/mid,West,Pacific,Black,9468,184
2007,Kings County,small/mid,West,Pacific,Black,9536,203
2008,Kings County,small/mid,West,Pacific,Black,9359,215
2009,Kings County,small/mid,West,Pacific,Black,9042,230
2010,Kings County,small/mid,West,Pacific,Black,8958,236
2011,Kings County,small/mid,West,Pacific,Black,8821,217
2012,Kings County,small/mid,West,Pacific,Black,8615,201
2013,Kings County,small/mid,West,Pacific,Black,8411,210
2014,Kings County,small/mid,West,Pacific,Black,8160,195
2015,Kings County,small/mid,West,Pacific,Black,7939,168
2016,Kings County,small/mid,West,Pacific,Black,7924,NA
1970,Lake County,rural,West,Pacific,Black,35,NA
1971,Lake County,rural,West,Pacific,Black,45,NA
1972,Lake County,rural,West,Pacific,Black,57,NA
1973,Lake County,rural,West,Pacific,Black,67,NA
1974,Lake County,rural,West,Pacific,Black,78,NA
1975,Lake County,rural,West,Pacific,Black,98,NA
1976,Lake County,rural,West,Pacific,Black,118,NA
1977,Lake County,rural,West,Pacific,Black,141,NA
1978,Lake County,rural,West,Pacific,Black,169,NA
1979,Lake County,rural,West,Pacific,Black,197,NA
1980,Lake County,rural,West,Pacific,Black,223,NA
1981,Lake County,rural,West,Pacific,Black,255,NA
1982,Lake County,rural,West,Pacific,Black,281,NA
1983,Lake County,rural,West,Pacific,Black,314,NA
1984,Lake County,rural,West,Pacific,Black,342,NA
1985,Lake County,rural,West,Pacific,Black,379,NA
1986,Lake County,rural,West,Pacific,Black,396,4
1987,Lake County,rural,West,Pacific,Black,419,4
1988,Lake County,rural,West,Pacific,Black,443,15
1989,Lake County,rural,West,Pacific,Black,472,NA
1990,Lake County,rural,West,Pacific,Black,488,NA
1991,Lake County,rural,West,Pacific,Black,518,22
1992,Lake County,rural,West,Pacific,Black,553,16
1993,Lake County,rural,West,Pacific,Black,574,23
1994,Lake County,rural,West,Pacific,Black,596,24
1995,Lake County,rural,West,Pacific,Black,611,19
1996,Lake County,rural,West,Pacific,Black,628,19
1997,Lake County,rural,West,Pacific,Black,637,25
1998,Lake County,rural,West,Pacific,Black,662,25
1999,Lake County,rural,West,Pacific,Black,699,25
2000,Lake County,rural,West,Pacific,Black,722,35
2001,Lake County,rural,West,Pacific,Black,755,36
2002,Lake County,rural,West,Pacific,Black,767,39
2003,Lake County,rural,West,Pacific,Black,846,36
2004,Lake County,rural,West,Pacific,Black,839,40
2005,Lake County,rural,West,Pacific,Black,871,42
2006,Lake County,rural,West,Pacific,Black,888,42
2007,Lake County,rural,West,Pacific,Black,907,46
2008,Lake County,rural,West,Pacific,Black,900,45
2009,Lake County,rural,West,Pacific,Black,865,43
2010,Lake County,rural,West,Pacific,Black,898,45
2011,Lake County,rural,West,Pacific,Black,960,38
2012,Lake County,rural,West,Pacific,Black,905,34
2013,Lake County,rural,West,Pacific,Black,903,33
2014,Lake County,rural,West,Pacific,Black,897,33
2015,Lake County,rural,West,Pacific,Black,929,38
2016,Lake County,rural,West,Pacific,Black,921,NA
1970,Lassen County,rural,West,Pacific,Black,500,NA
1971,Lassen County,rural,West,Pacific,Black,502,NA
1972,Lassen County,rural,West,Pacific,Black,506,NA
1973,Lassen County,rural,West,Pacific,Black,496,NA
1974,Lassen County,rural,West,Pacific,Black,537,NA
1975,Lassen County,rural,West,Pacific,Black,573,NA
1976,Lassen County,rural,West,Pacific,Black,555,NA
1977,Lassen County,rural,West,Pacific,Black,587,NA
1978,Lassen County,rural,West,Pacific,Black,590,NA
1979,Lassen County,rural,West,Pacific,Black,625,NA
1980,Lassen County,rural,West,Pacific,Black,697,NA
1981,Lassen County,rural,West,Pacific,Black,798,NA
1982,Lassen County,rural,West,Pacific,Black,901,NA
1983,Lassen County,rural,West,Pacific,Black,991,NA
1984,Lassen County,rural,West,Pacific,Black,1073,NA
1985,Lassen County,rural,West,Pacific,Black,1153,NA
1986,Lassen County,rural,West,Pacific,Black,1239,NA
1987,Lassen County,rural,West,Pacific,Black,1365,NA
1988,Lassen County,rural,West,Pacific,Black,1456,NA
1989,Lassen County,rural,West,Pacific,Black,1544,NA
1990,Lassen County,rural,West,Pacific,Black,1575,4
1991,Lassen County,rural,West,Pacific,Black,1558,5
1992,Lassen County,rural,West,Pacific,Black,1622,7
1993,Lassen County,rural,West,Pacific,Black,1695,9
1994,Lassen County,rural,West,Pacific,Black,1633,10
1995,Lassen County,rural,West,Pacific,Black,1607,7
1996,Lassen County,rural,West,Pacific,Black,2315,13
1997,Lassen County,rural,West,Pacific,Black,2942,10
1998,Lassen County,rural,West,Pacific,Black,2983,9
1999,Lassen County,rural,West,Pacific,Black,2948,11
2000,Lassen County,rural,West,Pacific,Black,2996,11
2001,Lassen County,rural,West,Pacific,Black,2964,13
2002,Lassen County,rural,West,Pacific,Black,2864,14
2003,Lassen County,rural,West,Pacific,Black,2906,15
2004,Lassen County,rural,West,Pacific,Black,2985,16
2005,Lassen County,rural,West,Pacific,Black,2958,16
2006,Lassen County,rural,West,Pacific,Black,2982,19
2007,Lassen County,rural,West,Pacific,Black,3244,19
2008,Lassen County,rural,West,Pacific,Black,3035,17
2009,Lassen County,rural,West,Pacific,Black,2935,14
2010,Lassen County,rural,West,Pacific,Black,2900,13
2011,Lassen County,rural,West,Pacific,Black,2950,11
2012,Lassen County,rural,West,Pacific,Black,2966,8
2013,Lassen County,rural,West,Pacific,Black,2918,8
2014,Lassen County,rural,West,Pacific,Black,2618,8
2015,Lassen County,rural,West,Pacific,Black,2666,7
2016,Lassen County,rural,West,Pacific,Black,2541,NA
1970,Los Angeles County,urban,West,Pacific,Black,463157,NA
1971,Los Angeles County,urban,West,Pacific,Black,479646,NA
1972,Los Angeles County,urban,West,Pacific,Black,491246,NA
1973,Los Angeles County,urban,West,Pacific,Black,505243,NA
1974,Los Angeles County,urban,West,Pacific,Black,522314,NA
1975,Los Angeles County,urban,West,Pacific,Black,539259,NA
1976,Los Angeles County,urban,West,Pacific,Black,561038,NA
1977,Los Angeles County,urban,West,Pacific,Black,577546,NA
1978,Los Angeles County,urban,West,Pacific,Black,597903,NA
1979,Los Angeles County,urban,West,Pacific,Black,613008,NA
1980,Los Angeles County,urban,West,Pacific,Black,639090,NA
1981,Los Angeles County,urban,West,Pacific,Black,642882,NA
1982,Los Angeles County,urban,West,Pacific,Black,650090,NA
1983,Los Angeles County,urban,West,Pacific,Black,656280,7286
1984,Los Angeles County,urban,West,Pacific,Black,660532,7826
1985,Los Angeles County,urban,West,Pacific,Black,666168,9169
1986,Los Angeles County,urban,West,Pacific,Black,677772,11509
1987,Los Angeles County,urban,West,Pacific,Black,685459,13335
1988,Los Angeles County,urban,West,Pacific,Black,690361,16514
1989,Los Angeles County,urban,West,Pacific,Black,694854,NA
1990,Los Angeles County,urban,West,Pacific,Black,627369,NA
1991,Los Angeles County,urban,West,Pacific,Black,625508,16939
1992,Los Angeles County,urban,West,Pacific,Black,629974,17788
1993,Los Angeles County,urban,West,Pacific,Black,623040,18672
1994,Los Angeles County,urban,West,Pacific,Black,615544,18694
1995,Los Angeles County,urban,West,Pacific,Black,608182,19567
1996,Los Angeles County,urban,West,Pacific,Black,603678,21129
1997,Los Angeles County,urban,West,Pacific,Black,606334,22471
1998,Los Angeles County,urban,West,Pacific,Black,610079,23583
1999,Los Angeles County,urban,West,Pacific,Black,613712,23243
2000,Los Angeles County,urban,West,Pacific,Black,613517,22604
2001,Los Angeles County,urban,West,Pacific,Black,615013,21798
2002,Los Angeles County,urban,West,Pacific,Black,616693,21275
2003,Los Angeles County,urban,West,Pacific,Black,617251,21402
2004,Los Angeles County,urban,West,Pacific,Black,617087,21647
2005,Los Angeles County,urban,West,Pacific,Black,614568,21724
2006,Los Angeles County,urban,West,Pacific,Black,610171,22725
2007,Los Angeles County,urban,West,Pacific,Black,604660,22684
2008,Los Angeles County,urban,West,Pacific,Black,600682,22680
2009,Los Angeles County,urban,West,Pacific,Black,599073,22157
2010,Los Angeles County,urban,West,Pacific,Black,598278,21113
2011,Los Angeles County,urban,West,Pacific,Black,597016,19366
2012,Los Angeles County,urban,West,Pacific,Black,597988,17843
2013,Los Angeles County,urban,West,Pacific,Black,599960,17613
2014,Los Angeles County,urban,West,Pacific,Black,601941,17219
2015,Los Angeles County,urban,West,Pacific,Black,601012,16005
2016,Los Angeles County,urban,West,Pacific,Black,598709,NA
1970,Madera County,small/mid,West,Pacific,Black,1062,NA
1971,Madera County,small/mid,West,Pacific,Black,1039,NA
1972,Madera County,small/mid,West,Pacific,Black,1009,NA
1973,Madera County,small/mid,West,Pacific,Black,999,NA
1974,Madera County,small/mid,West,Pacific,Black,998,NA
1975,Madera County,small/mid,West,Pacific,Black,1004,NA
1976,Madera County,small/mid,West,Pacific,Black,1008,NA
1977,Madera County,small/mid,West,Pacific,Black,1048,NA
1978,Madera County,small/mid,West,Pacific,Black,1078,NA
1979,Madera County,small/mid,West,Pacific,Black,1142,NA
1980,Madera County,small/mid,West,Pacific,Black,1253,NA
1981,Madera County,small/mid,West,Pacific,Black,1297,NA
1982,Madera County,small/mid,West,Pacific,Black,1307,NA
1983,Madera County,small/mid,West,Pacific,Black,1317,30
1984,Madera County,small/mid,West,Pacific,Black,1326,28
1985,Madera County,small/mid,West,Pacific,Black,1341,28
1986,Madera County,small/mid,West,Pacific,Black,1358,38
1987,Madera County,small/mid,West,Pacific,Black,1373,38
1988,Madera County,small/mid,West,Pacific,Black,1408,45
1989,Madera County,small/mid,West,Pacific,Black,1440,52
1990,Madera County,small/mid,West,Pacific,Black,1325,59
1991,Madera County,small/mid,West,Pacific,Black,1561,66
1992,Madera County,small/mid,West,Pacific,Black,1732,58
1993,Madera County,small/mid,West,Pacific,Black,1940,65
1994,Madera County,small/mid,West,Pacific,Black,2138,72
1995,Madera County,small/mid,West,Pacific,Black,2319,80
1996,Madera County,small/mid,West,Pacific,Black,2605,86
1997,Madera County,small/mid,West,Pacific,Black,2909,95
1998,Madera County,small/mid,West,Pacific,Black,3226,99
1999,Madera County,small/mid,West,Pacific,Black,3592,96
2000,Madera County,small/mid,West,Pacific,Black,3855,104
2001,Madera County,small/mid,West,Pacific,Black,3833,97
2002,Madera County,small/mid,West,Pacific,Black,3701,93
2003,Madera County,small/mid,West,Pacific,Black,3807,88
2004,Madera County,small/mid,West,Pacific,Black,4031,97
2005,Madera County,small/mid,West,Pacific,Black,4145,102
2006,Madera County,small/mid,West,Pacific,Black,4190,92
2007,Madera County,small/mid,West,Pacific,Black,4241,91
2008,Madera County,small/mid,West,Pacific,Black,4331,95
2009,Madera County,small/mid,West,Pacific,Black,4282,83
2010,Madera County,small/mid,West,Pacific,Black,4296,86
2011,Madera County,small/mid,West,Pacific,Black,4323,82
2012,Madera County,small/mid,West,Pacific,Black,4262,74
2013,Madera County,small/mid,West,Pacific,Black,3859,74
2014,Madera County,small/mid,West,Pacific,Black,3721,62
2015,Madera County,small/mid,West,Pacific,Black,4164,57
2016,Madera County,small/mid,West,Pacific,Black,4081,NA
1970,Marin County,suburban,West,Pacific,Black,3562,NA
1971,Marin County,suburban,West,Pacific,Black,3578,NA
1972,Marin County,suburban,West,Pacific,Black,3655,NA
1973,Marin County,suburban,West,Pacific,Black,3854,NA
1974,Marin County,suburban,West,Pacific,Black,3823,NA
1975,Marin County,suburban,West,Pacific,Black,3981,NA
1976,Marin County,suburban,West,Pacific,Black,4074,NA
1977,Marin County,suburban,West,Pacific,Black,4142,NA
1978,Marin County,suburban,West,Pacific,Black,4145,NA
1979,Marin County,suburban,West,Pacific,Black,4115,NA
1980,Marin County,suburban,West,Pacific,Black,4257,NA
1981,Marin County,suburban,West,Pacific,Black,4527,NA
1982,Marin County,suburban,West,Pacific,Black,4759,NA
1983,Marin County,suburban,West,Pacific,Black,5000,39
1984,Marin County,suburban,West,Pacific,Black,5214,37
1985,Marin County,suburban,West,Pacific,Black,5416,47
1986,Marin County,suburban,West,Pacific,Black,5679,52
1987,Marin County,suburban,West,Pacific,Black,5912,68
1988,Marin County,suburban,West,Pacific,Black,6160,68
1989,Marin County,suburban,West,Pacific,Black,6462,72
1990,Marin County,suburban,West,Pacific,Black,5925,76
1991,Marin County,suburban,West,Pacific,Black,5838,80
1992,Marin County,suburban,West,Pacific,Black,5891,83
1993,Marin County,suburban,West,Pacific,Black,5948,100
1994,Marin County,suburban,West,Pacific,Black,5874,95
1995,Marin County,suburban,West,Pacific,Black,5995,100
1996,Marin County,suburban,West,Pacific,Black,5880,110
1997,Marin County,suburban,West,Pacific,Black,6000,130
1998,Marin County,suburban,West,Pacific,Black,6134,135
1999,Marin County,suburban,West,Pacific,Black,6124,139
2000,Marin County,suburban,West,Pacific,Black,6008,131
2001,Marin County,suburban,West,Pacific,Black,5892,115
2002,Marin County,suburban,West,Pacific,Black,5907,113
2003,Marin County,suburban,West,Pacific,Black,5877,115
2004,Marin County,suburban,West,Pacific,Black,5772,108
2005,Marin County,suburban,West,Pacific,Black,5841,98
